9.765625000000000000e-01	7.226562500000000000e-01	9.492187500000000000e-01	9.609375000000000000e-01
8.125000000000000000e-01	9.960937500000000000e-01	5.039062500000000000e-01	9.453125000000000000e-01
9.960937500000000000e-01	9.687500000000000000e-01	1.000000000000000000e+00	9.843750000000000000e-01
9.648437500000000000e-01	1.000000000000000000e+00	9.609375000000000000e-01	9.218750000000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.140625000000000000e-01	9.843750000000000000e-01
9.921875000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	9.335937500000000000e-01
9.140625000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	8.437500000000000000e-01
9.492187500000000000e-01	6.992187500000000000e-01	1.000000000000000000e+00	9.218750000000000000e-01
9.687500000000000000e-01	9.414062500000000000e-01	4.253387451171875000e-04	1.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.843750000000000000e-01
9.843750000000000000e-01	4.062500000000000000e-01	9.804687500000000000e-01	6.953125000000000000e-01
9.648437500000000000e-01	1.000000000000000000e+00	-2.365112304687500000e-04	1.000000000000000000e+00
1.000000000000000000e+00	9.804687500000000000e-01	9.921875000000000000e-01	9.843750000000000000e-01
9.687500000000000000e-01	9.375000000000000000e-01	9.765625000000000000e-01	9.335937500000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.726562500000000000e-01	9.843750000000000000e-01
9.453125000000000000e-01	8.046875000000000000e-01	1.000000000000000000e+00	9.765625000000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.960937500000000000e-01	9.375000000000000000e-01
9.101562500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	9.882812500000000000e-01
8.828125000000000000e-01	9.843750000000000000e-01	9.453125000000000000e-01	9.648437500000000000e-01
9.843750000000000000e-01	5.664062500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
7.656250000000000000e-01	9.765625000000000000e-01	9.218750000000000000e-01	9.609375000000000000e-01
9.960937500000000000e-01	9.687500000000000000e-01	9.726562500000000000e-01	9.843750000000000000e-01
1.000000000000000000e+00	9.804687500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
9.804687500000000000e-01	1.000000000000000000e+00	9.804687500000000000e-01	9.140625000000000000e-01
8.906250000000000000e-01	1.000000000000000000e+00	9.453125000000000000e-01	9.921875000000000000e-01
8.203125000000000000e-01	9.921875000000000000e-01	1.000000000000000000e+00	9.882812500000000000e-01
1.000000000000000000e+00	9.960937500000000000e-01	1.000000000000000000e+00	9.960937500000000000e-01
9.960937500000000000e-01	9.218750000000000000e-01	9.960937500000000000e-01	9.960937500000000000e-01
